utility_name,respondent_id,year,customer_id,customer_name,customers,sales,revenues
Appalachian Power Co.,6,2009,1,sales_for_resale,108,13858722,716987064
Appalachian Power Co.,6,2008,2,commercial,130798,7057113,426276809
Appalachian Power Co.,6,2008,3,industrial,4403,13794156,601211894
Appalachian Power Co.,6,2008,8,public_authorities,5266,765009,48313662
Appalachian Power Co.,6,2008,4,public_street_and_highway_lighting,1805,70066,7045480
Appalachian Power Co.,6,2008,5,rate_refunds,3882,,-52909543
Appalachian Power Co.,6,2008,6,residential,815603,12523324,891159170
Appalachian Power Co.,6,2008,1,sales_for_resale,88,20163676,1017008326
Appalachian Power Co.,6,2007,2,commercial,129273,7052259,387322893
Appalachian Power Co.,6,2007,3,industrial,4399,13617512,541009609
Appalachian Power Co.,6,2007,8,public_authorities,5225,758797,42672049
Appalachian Power Co.,6,2007,4,public_street_and_highway_lighting,1807,70415,6792784
Appalachian Power Co.,6,2007,5,rate_refunds,3882,,-12996315
Appalachian Power Co.,6,2007,6,residential,810989,12376428,787709566
Appalachian Power Co.,6,2007,1,sales_for_resale,105,20530415,878590446
Appalachian Power Co.,6,2006,2,commercial,127540,6736534,349868884
Appalachian Power Co.,6,2006,3,industrial,4401,13036690,477001425
Appalachian Power Co.,6,2006,8,public_authorities,5130,726495,39698609
Appalachian Power Co.,6,2006,4,public_street_and_highway_lighting,1809,70476,6687624
Appalachian Power Co.,6,2006,6,residential,806200,11878136,695140483
Appalachian Power Co.,6,2006,1,sales_for_resale,109,18858322,759425076
Appalachian Power Co.,6,2005,2,commercial,125710,6855841,334510952
Appalachian Power Co.,6,2005,3,industrial,4391,10289359,363479907
Appalachian Power Co.,6,2005,8,public_authorities,5132,750538,37226993
Appalachian Power Co.,6,2005,4,public_street_and_highway_lighting,1814,70853,6583961
Appalachian Power Co.,6,2005,6,residential,800982,12361132,668259078
Appalachian Power Co.,6,2005,1,sales_for_resale,117,19302863,646202682
Arizona Public Service Co.,7,2020,2,commercial,133874,12223505,1297688464
Arizona Public Service Co.,7,2020,3,industrial,3231,2248560,168994809
Arizona Public Service Co.,7,2020,8,public_authorities,138,1714,121141
Arizona Public Service Co.,7,2020,4,public_street_and_highway_lighting,1266,122752,19293027
Arizona Public Service Co.,7,2020,6,residential,1150194,14747876,1929176208
Arizona Public Service Co.,7,2020,1,sales_for_resale,49,3088308,102794019
Arizona Public Service Co.,7,2019,2,commercial,131452,12311318,1314276445
Arizona Public Service Co.,7,2019,3,industrial,3457,2215305,175005574
Arizona Public Service Co.,7,2019,8,public_authorities,139,1910,147828
Arizona Public Service Co.,7,2019,4,public_street_and_highway_lighting,1238,126811,20083610
Arizona Public Service Co.,7,2019,6,residential,1123829,13189233,1761122100
Arizona Public Service Co.,7,2019,1,sales_for_resale,48,4085015,131082201
Arizona Public Service Co.,7,2018,2,commercial,129593,12388412,1419693748
Arizona Public Service Co.,7,2018,3,industrial,3728,2224269,187260440
Arizona Public Service Co.,7,2018,8,public_authorities,145,1932,57422
Arizona Public Service Co.,7,2018,4,public_street_and_highway_lighting,1169,138293,21880690
Arizona Public Service Co.,7,2018,5,rate_refunds,3882,,216071
Arizona Public Service Co.,7,2018,6,residential,1100816,13190481,1867369242
Arizona Public Service Co.,7,2018,1,sales_for_resale,38,2936450,158872306
Arizona Public Service Co.,7,2017,2,commercial,128696,12380386,1400817101
Arizona Public Service Co.,7,2017,3,industrial,4058,2284201,190953711
Arizona Public Service Co.,7,2017,8,public_authorities,154,2165,143156
Arizona Public Service Co.,7,2017,4,public_street_and_highway_lighting,1054,144124,22649859
Arizona Public Service Co.,7,2017,6,residential,1080665,13207135,1792452827
Arizona Public Service Co.,7,2017,1,sales_for_resale,40,2892159,117095734
Arizona Public Service Co.,7,2016,2,commercial,126662,12411366,1392292595
Arizona Public Service Co.,7,2016,3,industrial,3845,2267688,190274858
Arizona Public Service Co.,7,2016,8,public_authorities,153,2745,181677
Arizona Public Service Co.,7,2016,4,public_street_and_highway_lighting,1037,144857,22578875
Arizona Public Service Co.,7,2016,6,residential,1061814,13195346,1729900602
Arizona Public Service Co.,7,2016,1,sales_for_resale,46,3906044,119366602
Arizona Public Service Co.,7,2015,2,commercial,125579,12364153,1375003302
Arizona Public Service Co.,7,2015,3,industrial,3744,2275533,186410252
Arizona Public Service Co.,7,2015,8,public_authorities,154,2822,187560
Arizona Public Service Co.,7,2015,4,public_street_and_highway_lighting,1028,148229,22444231
Arizona Public Service Co.,7,2015,6,residential,1046989,13159754,1701967569
Arizona Public Service Co.,7,2015,1,sales_for_resale,47,5678363,176840127
